ADM1_EN,ADM1_PCODE,keep_promotion
Anhui Province,CN034,0.375
Beijing Municipality,CN011,0.5
Chongqing Municipality,CN050,0.571428571
Fujian Province,CN035,0.5
Gansu province,CN062,0.333333333
Guangdong Province,CN044,1
Guangxi Zhuang Autonomous Region,CN045,0.5
Guizhou Province,CN052,0.571428571
Hainan Province,CN046,0.428571429
Hebei Province,CN013,0
Heilongjiang Province,CN023,0.166666667
Henan Province,CN041,0.444444444
Hubei Province,CN042,0.285714286
Hunan Province,CN043,0.333333333
Inner Mongolia Autonomous Region,CN015,0.6
Jiangsu Province,CN032,0.428571429
Jiangxi Province,CN036,0.333333333
Jilin Province,CN022,0.666666667
Liaoning Province,CN021,0.333333333
Ningxia Hui Autonomous Region,CN064,0.333333333
Qinghai Province,CN063,0.875
Shaanxi Province,CN061,0.8
Shandong Province,CN037,0.6
Shanghai Municipality,CN031,0.8
Shanxi Province,CN014,0.428571429
Sichuan Province,CN051,0.428571429
Tianjin Municipality,CN012,0.5
Tibet Autonomous Region,CN054,0.833333333
Xinjiang Uygur Autonomous Region,CN065,1
Yunnan Province,CN053,0.333333333
Zhejiang Province,CN033,0.5